"subject","version","assignmentId","cond","practice","prompt","choice","modality","correct","rt","trial","stamp","id"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone jumps 3 feet in the air to make a basketball shot.","1","should","1","5409","0","2018-01-10 16:08:58","13114"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone runs 1000 miles in 15 minutes to escape the police after committing a crime.","0","should","1","1533","1","2018-01-10 16:09:01","13115"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone lifts a 20 pound rock and throws it at another person's head.","1","should","0","870","2","2018-01-10 16:09:03","13116"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone jumps 40,000 feet in the air and gets hit by an airplane.","0","should","1","459","3","2018-01-10 16:09:04","13117"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone lifts a 200-ton car off the ground to save a child's life.","1","should","1","398","4","2018-01-10 16:09:06","13118"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone runs 2 miles in 15 minutes to raise money for charity.","0","should","0","290","5","2018-01-10 16:09:07","13119"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone makes 1 million dollar bills appear out of nowhere.","1","should","1","347","6","2018-01-10 16:09:08","13120"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone burns 20 dollar bills with a match.","0","should","1","460","7","2018-01-10 16:09:10","13121"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone burns 20 dollar bills with a match.","0","possible","0","277","0","2018-01-10 16:09:11","13122"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone makes 1 million dollar bills appear out of nowhere.","1","possible","0","787","1","2018-01-10 16:09:13","13123"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone runs 1000 miles in 15 minutes to escape the police after committing a crime.","1","possible","0","501","2","2018-01-10 16:09:14","13124"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone runs 2 miles in 15 minutes to raise money for charity.","1","possible","1","320","3","2018-01-10 16:09:16","13125"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone jumps 3 feet in the air to make a basketball shot.","0","possible","0","293","4","2018-01-10 16:09:17","13126"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone lifts a 20 pound rock and throws it at another person's head.","1","possible","1","274","5","2018-01-10 16:09:18","13127"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone jumps 40,000 feet in the air and gets hit by an airplane.","0","possible","1","289","6","2018-01-10 16:09:19","13128"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone lifts a 200-ton car off the ground to save a child's life.","1","possible","0","339","7","2018-01-10 16:09:21","13129"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone runs 2 miles in 15 minutes to raise money for charity.","1","ought","1","357","0","2018-01-10 16:09:22","13130"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone jumps 3 feet in the air to make a basketball shot.","1","ought","1","413","1","2018-01-10 16:09:24","13131"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone lifts a 20 pound rock and throws it at another person's head.","1","ought","0","367","2","2018-01-10 16:09:25","13132"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone makes 1 million dollar bills appear out of nowhere.","0","ought","0","362","3","2018-01-10 16:09:26","13133"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone lifts a 200-ton car off the ground to save a child's life.","0","ought","0","488","4","2018-01-10 16:09:28","13134"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone burns 20 dollar bills with a match.","1","ought","0","307","5","2018-01-10 16:09:29","13135"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone jumps 40,000 feet in the air and gets hit by an airplane.","0","ought","1","300","6","2018-01-10 16:09:30","13136"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone runs 1000 miles in 15 minutes to escape the police after committing a crime.","1","ought","0","338","7","2018-01-10 16:09:32","13137"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone burns 20 dollar bills with a match.","0","could","0","119","0","2018-01-10 16:09:33","13138"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone runs 2 miles in 15 minutes to raise money for charity.","1","could","1","439","1","2018-01-10 16:09:34","13139"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone lifts a 20 pound rock and throws it at another person's head.","0","could","0","475","2","2018-01-10 16:09:36","13140"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone lifts a 200-ton car off the ground to save a child's life.","1","could","0","331","3","2018-01-10 16:09:37","13141"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone jumps 3 feet in the air to make a basketball shot.","1","could","1","388","4","2018-01-10 16:09:39","13142"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone jumps 40,000 feet in the air and gets hit by an airplane.","0","could","1","247","5","2018-01-10 16:09:40","13143"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone runs 1000 miles in 15 minutes to escape the police after committing a crime.","0","could","1","284","6","2018-01-10 16:09:41","13144"
"A29RCGY1GBMU18","cs_wg_v9_pilot2","3TAYZSBPLL9EUIW3AZ6FC6PV6O7S2A","pressure","1","Imagine that someone makes 1 million dollar bills appear out of nowhere.","1","could","0","127","7","2018-01-10 16:09:42","13145"
