"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A2DOIZHRZR5HHU","cs_wg_full_v2_real1","3OVR4I9USPKCKGWDM90YAL7TCGVQ42","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","19995","0","1","BALCONY",,"16000",,,"2018-06-28 17:36:27","20145"
"A2DOIZHRZR5HHU","cs_wg_full_v2_real1","3OVR4I9USPKCKGWDM90YAL7TCGVQ42","normal","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""costume:false"",""jungle:true"",""balcony:true"",""coffee:false"",""turkey:false"",""priest:false"",""animal:false"",""barrel:false"",""magnet:false"",""pillar:false"",""silver:false"",""domino:true""]",,NULL,,,"2018-06-28 17:37:04","20146"
"ABPM2716DVK3F","cs_wg_full_v2_real1","3OE22WJIGIPB1EQS1FRGNP5NBTJUQT","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","36908","0","1","Planet",,"16000",,,"2018-06-28 17:40:12","20147"
"A1UKZRDH1T231M","cs_wg_full_v2_real1","3VZLGYJEYLBCWALETGLGYPGVAELZXK","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","18820","0","1","HERMIT",,"16000",,,"2018-06-28 17:40:26","20148"
"ASLGHXA4453BQ","cs_wg_full_v2_real1","3JV9LGBJWTFPBKCH2XAVU59WNKMOGF","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","27258","0","1","cabinet",,"16000",,,"2018-06-28 17:40:28","20149"
"ABPM2716DVK3F","cs_wg_full_v2_real1","3OE22WJIGIPB1EQS1FRGNP5NBTJUQT","normal","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""spatula:true"",""budget:false"",""balcony:false"",""muffin:false"",""monkey:false"",""forgery:true"",""abdomen:false"",""spiral:false"",""planet:true"",""javelin:false"",""silver:false"",""bagpipe:false""]",,NULL,,,"2018-06-28 17:40:32","20150"
"A1UKZRDH1T231M","cs_wg_full_v2_real1","3VZLGYJEYLBCWALETGLGYPGVAELZXK","normal","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""picture:false"",""tongue:true"",""baboon:false"",""firefly:true"",""jacket:true"",""parent:false"",""hermit:true"",""eardrum:false"",""sponge:true"",""dollar:false"",""canvas:false"",""baptism:false""]",,NULL,,,"2018-06-28 17:40:38","20151"
"ASLGHXA4453BQ","cs_wg_full_v2_real1","3JV9LGBJWTFPBKCH2XAVU59WNKMOGF","normal","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""sunburn:false"",""budget:false"",""almond:false"",""muffin:false"",""jacket:true"",""parent:true"",""animal:false"",""spiral:false"",""cabinet:true"",""bullet:false"",""canvas:false"",""bikini:false""]",,NULL,,,"2018-06-28 17:40:41","20152"
"A29OCOF4PPVQJC","cs_wg_full_v2_real1","3VE8AYVF8MYGCST6KWFHFYJK70IF84","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","25557","0","1","sponge",,"16000",,,"2018-06-28 17:42:12","20153"
"A1S68DTVE9GU76","cs_wg_full_v2_real1","33OOO72IVHMS701KWS0BYOU4O0BCTF","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","34576","0","1","banquet",,"16000",,,"2018-06-28 17:42:20","20154"
"A1S68DTVE9GU76","cs_wg_full_v2_real1","33OOO72IVHMS701KWS0BYOU4O0BCTF","normal","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""banquet:true"",""dragon:true"",""balcony:false"",""giraffe:false"",""cricket:false"",""camera:false"",""demon:false"",""chorus:false"",""planet:false"",""bullet:false"",""shiver:false"",""addict:false""]",,NULL,,,"2018-06-28 17:42:33","20155"
"A29OCOF4PPVQJC","cs_wg_full_v2_real1","3VE8AYVF8MYGCST6KWFHFYJK70IF84","normal","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""banquet:false"",""dragon:false"",""almond:false"",""waffle:true"",""monkey:false"",""celery:true"",""abdomen:false"",""carrot:false"",""sponge:true"",""royalty:true"",""heaven:false"",""bagpipe:true""]",,NULL,,,"2018-06-28 17:42:33","20156"
